epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,414.955,1.19492,0.94837,0.95374,0.87729,0.92622,0.94129,0.55376,1.32894,0.94846,0.87705,0.00087019,0.00087019,0.00087019
81,420.021,1.16182,0.92907,0.94719,0.87778,0.93196,0.93936,0.55313,1.39701,0.93802,0.87885,0.000863116,0.000863116,0.000863116
82,425.069,1.19757,0.94205,0.95687,0.88828,0.9036,0.91443,0.53875,1.37806,0.90575,0.8835,0.000856042,0.000856042,0.000856042
83,430.587,1.20084,0.92706,0.9512,0.84742,0.9625,0.94725,0.57003,1.32085,0.91309,0.87097,0.000848969,0.000848969,0.000848969
84,436.185,1.16453,0.91332,0.93968,0.85073,0.80526,0.88303,0.46816,1.50778,1.02881,0.90399,0.000841895,0.000841895,0.000841895
85,441.469,1.20227,0.94534,0.94337,0.81658,0.92083,0.91828,0.56398,1.41018,0.91336,0.88866,0.000834822,0.000834822,0.000834822
86,446.866,1.21059,0.93042,0.94448,0.74782,0.86513,0.8948,0.53913,1.41664,0.98113,0.86105,0.000827748,0.000827748,0.000827748
87,452.358,1.13732,0.89458,0.94678,0.79438,0.83357,0.90172,0.52955,1.35659,0.94015,0.87395,0.000820675,0.000820675,0.000820675
88,457.841,1.19096,0.90264,0.94493,0.93661,0.78424,0.88543,0.56083,1.36015,0.8155,0.89451,0.000813601,0.000813601,0.000813601
89,463.311,1.17649,0.93038,0.94479,0.95558,0.81466,0.93913,0.5758,1.34404,0.89566,0.87753,0.000806528,0.000806528,0.000806528
90,468.814,1.1424,0.92119,0.94122,0.88835,0.8375,0.92473,0.533,1.36888,0.89626,0.90087,0.000799454,0.000799454,0.000799454
91,474.307,1.11907,0.87796,0.93484,0.92722,0.84522,0.90797,0.53619,1.38963,0.84106,0.89636,0.00079238,0.00079238,0.00079238
92,479.757,1.18678,0.90288,0.95759,0.90146,0.88641,0.94301,0.56067,1.39073,0.87978,0.87011,0.000785307,0.000785307,0.000785307
